id,year,date,primary_weapon,threat_type,flee_status,was_mental_illness_related,body_camera,race,gender,age,city,county,state,agency_name,agency_type,agency_ids,latitude,longitude,location_precision
52,2015,2015-01-14,knife,attack,not,0,0,White,male,75.0,Old Bridge,Middlesex,NJ,Old Bridge Police Department,local_police,293,40.405205,-74.301213,not_available
54,2015,2015-01-14,gun,point,not,0,0,White,male,68.0,Lake Jackson,Brazoria,TX,Lake Jackson Police Department,local_police,227,29.031478,-95.427894,not_available
55,2015,2015-01-14,knife,attack,not,0,1,White,male,34.0,Draper,Salt Lake,UT,Draper Police Department,local_police,228,40.539832,-111.88737,not_available
56,2015,2015-01-15,gun,shoot,foot,0,0,Black,male,27.0,Indianapolis,Marion,IN,Indianapolis Metropolitan Police Department,local_police,77,39.826282,-85.99107,not_available
57,2015,2015-01-15,gun,point,not,0,0,Black,male,39.0,Aurora,Arapahoe,CO,Aurora Police Department,local_police,21,39.725675,-104.772395,not_available
60,2015,2015-01-15,gun,point,not,1,0,White,male,24.0,Bloomington,Hennepin,MN,Bloomington Police Department,local_police,139,44.825491,-93.357998,not_available
63,2015,2015-01-15,knife,threat,not,1,0,Hispanic,male,36.0,Fairfield,Solano,CA,Fairfield Police Department,local_police,114,38.265646,-121.997297,not_available
64,2015,2015-01-15,gun,point,not,0,0,White,male,33.0,Evangeline Parish,Evangeline,LA,Louisiana State Police,state_police,509,30.748486,-92.440665,not_available
67,2015,2015-01-16,gun,shoot,car,0,0,White,male,41.0,Mabank,Van Zandt,TX,Texas Rangers,state_police,119,32.407111,-96.068594,not_available
68,2015,2015-01-16,knife,threat,not,0,0,Other,male,48.0,Fremont,Alameda,CA,Fremont Police Department,local_police,120,37.588029,-122.05951,not_available
74,2015,2015-01-17,gun,point,foot,0,1,Black,male,21.0,Muskogee,Muskogee,OK,Muskogee Police Department,local_police,125,35.766225,-95.394405,not_available
75,2015,2015-01-17,gun,point,not,0,0,Hispanic,male,24.0,Los Angeles,Los Angeles,CA,Los Angeles Police Department,local_police,38,34.038256,-118.232686,not_available
78,2015,2015-01-17,knife,attack,not,0,0,Hispanic,male,27.0,Fort Worth,Tarrant,TX,Fort Worth Police Department,local_police,116,32.810519,-97.333804,not_available
80,2015,2015-01-18,gun,point,not,1,0,White,male,32.0,Maricopa,Pinal,AZ,Maricopa Police Department,local_police,127,33.084657,-112.041995,not_available
83,2015,2015-01-18,gun,point,not,1,0,White,male,67.0,Gunlock,Magoffin,KY,Kentucky State Police,state_police,130,37.565241,-82.920878,not_available
84,2015,2015-01-19,knife,attack,not,0,0,White,male,49.0,Weymouth,Norfolk,MA,Weymouth Police Department,local_police,108,42.256717,-70.931608,not_available
85,2015,2015-01-20,unknown,threat,car,0,0,Black,male,42.0,Scottsdale,Maricopa,AZ,Scottsdale Police Department,local_police,510,33.509395,-111.908609,not_available
86,2015,2015-01-21,gun,shoot,not,0,0,White,male,36.0,Hemet,Riverside,CA,Riverside County Sheriff's Department,sheriff,267,33.741702,-116.958179,not_available
88,2015,2015-01-21,gun,shoot,foot,0,0,Hispanic,male,36.0,Chapeno,Starr,TX,U.S. Border Patrol,federal,2195,26.558696,-99.123302,not_available
90,2015,2015-01-21,gun,point,not,0,0,Black,male,19.0,St. Louis,St. Louis City,MO,St. Louis Police Department,local_police,134,38.664913,-90.250128,not_available
98,2015,2015-01-21,gun,shoot,not,1,0,White,male,54.0,Derry,Rockingham,NH,Derry Police Department,local_police,133,42.908098,-71.336722,not_available
99,2015,2015-01-22,replica,point,car,0,0,Black,male,25.0,Sierra Blanca,Hudspeth,TX,U.S. Border Patrol,federal,2195,31.080258,-105.028485,not_available
100,2015,2015-01-22,knife,threat,not,1,0,White,female,17.0,Longview,Gregg,TX,Longview Police Department,local_police,111,32.495318,-94.746459,not_available
101,2015,2015-01-23,unknown,threat,not,0,0,Black,male,29.0,Fort Lauderdale,Broward,FL,Lauderhill Police Department,local_police,148,26.149665,-80.212207,not_available
102,2015,2015-01-23,knife,threat,not,0,0,Hispanic,male,56.0,Levelland,Hockley,TX,Levelland Police Department,local_police,147,33.577557,-102.369147,not_available
336,2015,2015-01-23,gun,point,not,1,0,White,male,61.0,Austin,Travis,TX,Austin Police Department,local_police,141,30.167126,-97.788524,not_available
105,2015,2015-01-24,gun,shoot,not,0,0,White,male,45.0,Rexburg,Madison,ID,Rexburg Police Department,local_police,150,43.825778,-111.780411,not_available
107,2015,2015-01-24,knife,threat,not,1,0,Black,male,26.0,Baltimore,Baltimore City,MD,Baltimore Police Department,local_police,149,39.284239,-76.647576,not_available
341,2015,2015-01-24,gun,shoot,not,0,0,White,male,40.0,Fort Worth,Tarrant,TX,Fort Worth Police Department,local_police,116,32.67783,-97.380045,not_available
108,2015,2015-01-25,gun,shoot,car,0,0,Hispanic,male,26.0,Pueblo,Pueblo,CO,Pueblo Police Department,local_police,151,38.285393,-104.573574,not_available
110,2015,2015-01-25,gun,point,not,0,0,unknown,male,59.0,Winslow,Camden,NJ,Winslow Police Department,local_police,52,39.749036,-74.928751,not_available
20,2015,2015-01-26,vehicle,threat,not,0,0,Hispanic,female,17.0,Denver,Denver,CO,Denver Police Department,local_police,106,39.754033,-104.909385,not_available
324,2015,2015-01-26,gun,shoot,not,1,0,White,male,68.0,New Hope,Hennepin,MN,New Hope Police Department,local_police,1953,45.035723,-93.385761,not_available
352,2015,2015-01-26,unarmed,flee,car,0,0,Hispanic,male,24.0,Tahoka,Lynn,TX,Lynn County Sheriff's Office,sheriff,179,33.16618,-101.666311,not_available
353,2015,2015-01-26,knife,threat,not,1,0,Hispanic,male,34.0,Wasco,Kern,CA,Kern County Sheriff's Office,sheriff,180,35.589237,-119.335135,not_available
111,2015,2015-01-27,knife,attack,not,1,0,White,female,39.0,Omaha,Douglas,NE,Omaha Police Department,local_police,158,41.242784,-95.990449,not_available
348,2015,2015-01-27,unknown,threat,not,0,0,Native American,male,26.0,Phoenix,Maricopa,AZ,Phoenix Police Department,local_police,80,33.494985,-112.112983,not_available
349,2015,2015-01-27,gun,shoot,not,0,0,White,male,29.0,Morenci,Greenlee,AZ,Greenlee County Sheriff's Office,sheriff,174,33.053857,-109.32633,not_available
350,2015,2015-01-27,gun,shoot,not,0,0,Black,male,33.0,Columbus,Franklin,OH,U.S. Marshals Service,federal,3084,39.87932,-82.996643,not_available
345,2015,2015-01-28,gun,shoot,not,0,0,White,male,45.0,Sunset,Montague,TX,Wise County Sheriff's Office,sheriff,166,33.470281,-97.827708,not_available
346,2015,2015-01-28,blunt_object,attack,not,1,0,Asian Heritage,male,35.0,Stockton,San Joaquin,CA,Stockton Police Department,local_police,168,38.02921,-121.315657,not_available
347,2015,2015-01-28,gun,shoot,not,0,0,White,male,26.0,Rosenberg,Fort Bend,TX,Rosenberg Police Department,local_police,171,29.557915,-95.784456,not_available
112,2015,2015-01-29,gun,shoot,not,1,0,White,male,31.0,Wyoming,Kent,MI,Wyoming Police Department,local_police,512,42.89423,-85.659753,not_available
342,2015,2015-01-29,unarmed,move,foot,0,0,White,male,42.0,Stillwater,Payne,OK,Stillwater Police Department,local_police,164,36.121177,-97.050127,not_available
113,2015,2015-01-30,gun,point,foot,0,0,White,male,48.0,Billings,Yellowstone,MT,Billings Police Department,local_police,105,45.789929,-108.51273,not_available
338,2015,2015-01-31,gun,point,not,0,0,Hispanic,male,31.0,Houston,Harris,TX,Harris County Sheriff's Office,sheriff,160,29.86129,-95.720377,not_available
339,2015,2015-01-31,knife,threat,not,1,0,Black,male,54.0,Randallstown,Baltimore,MD,Baltimore County Police Department,local_police,128,39.380084,-76.820805,not_available
114,2015,2015-02-02,unarmed,flee,foot,0,0,White,male,59.0,Hummelstown,Dauphin,PA,Hummelstown Police Department,local_police,303,40.273404,-76.712841,not_available
115,2015,2015-02-02,gun,shoot,not,1,0,White,male,42.0,Apple Valley,San Bernardino,CA,San Bernardino County Sheriff's Department,sheriff,236,34.417432,-117.176872,not_available
528,2015,2015-02-02,gun,shoot,not,0,0,White,male,17.0,Bay City,Bay,MI,Bay City Police Department,local_police,569,43.598911,-83.872836,not_available
117,2015,2015-02-03,gun,point,foot,0,0,Black,male,23.0,St. Louis,St. Louis,MO,St. Louis Police Department,local_police,134,38.74984,-90.209533,not_available
118,2015,2015-02-03,gun,point,car,0,0,Black,female,38.0,Emeryville,Alameda,CA,Emeryville Police Department,local_police,307,37.826664,-122.28415,not_available
119,2015,2015-02-03,knife,threat,not,1,0,Black,male,29.0,Antioch,Contra Costa,CA,Contra Costa Sheriff's Office,sheriff,204,37.999348,-121.818442,not_available
120,2015,2015-02-03,gun,point,not,1,0,White,male,45.0,Douglas,Coffee,GA,Douglas Police Department,local_police,305,31.523448,-82.845223,not_available
116,2015,2015-02-04,unarmed,attack,not,0,0,Black,male,28.0,Tallahassee,Leon,FL,Tallahassee Police Department,local_police,311,30.465764,-84.330427,not_available
123,2015,2015-02-04,gun,point,not,0,0,Hispanic,male,37.0,Orlando,Orange,FL,Orlando Police Department,local_police,482,28.499573,-81.305522,not_available
124,2015,2015-02-04,gun,point,car,0,0,Hispanic,male,28.0,Tempe,Maricopa,AZ,Tempe Police Department,local_police,247,33.378178,-111.978345,not_available
125,2015,2015-02-04,unarmed,accident,not,0,0,Hispanic,male,28.0,Tempe,Maricopa,AZ,Tempe Police Department,local_police,247,33.378178,-111.978345,not_available
126,2015,2015-02-04,gun,point,car,0,0,Black,male,51.0,Lorena,McLennan,TX,Waco Police Department,local_police,521,31.397087,-97.207888,not_available
127,2015,2015-02-04,knife,threat,not,0,0,Black,male,36.0,Memphis,Shelby,TN,U.S. Marshals Service,federal,1409,35.164432,-89.932323,not_available
128,2015,2015-02-05,replica,flee,car,0,0,White,male,59.0,Chino,San Bernardino,CA,Corona Police Department,local_police,315,33.953297,-117.650399,not_available
129,2015,2015-02-06,gun,shoot,not,0,0,Black,male,25.0,Oklahoma City,Oklahoma,OK,Oklahoma City Police Department,local_police,23,35.404233,-97.515092,not_available
532,2015,2015-02-07,replica,point,not,0,0,White,male,26.0,Calimesa,Riverside,CA,Riverside County Sheriff's Department,sheriff,267,33.993874,-117.057442,not_available
554,2015,2015-02-07,gun,point,not,0,0,Black,male,74.0,Gastonia,Gaston,NC,Gastonia Police Department,local_police,317,35.265999,-81.227419,not_available
131,2015,2015-02-08,gun,shoot,car,0,0,White,male,33.0,Anchorage,Anchorage,AK,Anchorage Police Department,local_police,208,61.207695,-149.858767,not_available
132,2015,2015-02-08,gun,shoot,not,0,0,White,male,27.0,Austin,Travis,TX,Austin Police Department,local_police,141,30.243993,-97.89063,not_available
133,2015,2015-02-08,gun,shoot,not,1,0,White,male,57.0,New City,Rockland,NY,Clarkstown Police Department,local_police,325,41.152031,-74.00091,not_available
134,2015,2015-02-08,gun,shoot,not,0,0,White,male,46.0,Orange County,Orange,FL,Orange County Sheriff's Office,sheriff,326,28.482014,-81.329358,not_available
135,2015,2015-02-08,gun,point,not,0,0,White,male,41.0,Nocona,Montague,TX,Nocona Police Department,local_police,328,33.787111,-97.712082,not_available
136,2015,2015-02-09,gun,point,not,1,0,White,male,61.0,Smyrna,Aroostook,ME,Aroostook County Sheriff's Office,sheriff,513,46.159452,-68.103745,not_available
137,2015,2015-02-09,gun,shoot,not,0,0,Black,male,45.0,Dallas,Dallas,TX,Dallas Police Department,local_police,330,32.655099,-96.750514,not_available
138,2015,2015-02-10,unarmed,flee,foot,1,0,Hispanic,male,35.0,Pasco,Franklin,WA,Pasco Police Department,local_police,331,46.228334,-119.101408,not_available
139,2015,2015-02-10,gun,point,not,0,0,Black,male,49.0,Whitehaven,Shelby,TN,Memphis Police Department,local_police,31,35.024626,-90.054309,not_available
140,2015,2015-02-10,gun,point,car,1,0,White,male,45.0,New Castle,Garfield,CO,Garfield County Sheriff's Office,sheriff,335,39.572635,-107.45411,not_available
141,2015,2015-02-11,knife,threat,not,1,0,Black,male,23.0,San Jose,Santa Clara,CA,San Jose Police Department,local_police,92,37.316219,-121.875651,not_available
142,2015,2015-02-11,replica,point,foot,1,1,White,male,46.0,Dadeville,Tallapoosa,AL,Tallapoosa County Sheriff's Department,sheriff,338,32.864135,-85.72364,not_available
145,2015,2015-02-13,unknown,attack,car,0,0,White,male,23.0,San Bernardino,San Bernardino,CA,San Bernardino Police Department,local_police,595,34.164632,-117.333459,not_available
146,2015,2015-02-13,gun,point,car,0,0,Hispanic,male,21.0,Kansas City,Wyandotte,KS,Kansas Highway Patrol,state_police,200,39.071462,-94.640238,not_available
147,2015,2015-02-13,unarmed,move,not,0,0,Hispanic,male,35.0,Reading,Berks,PA,Pennsylvania State Police,state_police,19,40.328755,-75.907947,not_available
148,2015,2015-02-13,gun,point,not,0,0,White,male,27.0,McLemoresville,Carroll,TN,Carroll County Sheriff's Department,sheriff,339,35.94982,-88.571903,not_available
154,2015,2015-02-13,knife,threat,not,1,0,Hispanic,male,37.0,San Manuel,Pinal,AZ,Pinal County Sheriff's Department,sheriff,348,32.614424,-110.6283242,not_available
149,2015,2015-02-14,gun,shoot,car,1,0,White,male,16.0,Essex,Baltimore,MD,Baltimore County Police Department,local_police,128,39.298901,-76.439504,not_available
155,2015,2015-02-14,gun,shoot,not,0,0,White,male,51.0,Laredo,Webb,TX,Laredo Police Department,local_police,203,27.553541,-99.47401,not_available
150,2015,2015-02-15,unarmed,threat,not,1,0,Black,male,25.0,Miami Gardens,Miami-Dade,FL,Miami Gardens Police Department,local_police,346,25.950868,-80.207524,not_available
151,2015,2015-02-15,gun,shoot,foot,0,0,White,male,34.0,Iuka,Tishomingo,MS,Iuka Police Department,local_police,347,34.804241,-88.204544,not_available
153,2015,2015-02-15,knife,threat,not,1,0,White,male,34.0,Colton,Clackamas,OR,Clackamas County Sheriff's Office,sheriff,277,45.175076,-122.43747,not_available
156,2015,2015-02-16,gun,point,not,0,0,White,male,56.0,Marana,Pima,AZ,Marana Police Department,local_police,215,32.358795,-111.089809,not_available
157,2015,2015-02-16,gun,point,not,0,0,White,male,26.0,Boise,Ada,ID,Boise Police Department,local_police,349,43.578926,-116.222359,not_available
158,2015,2015-02-16,replica,point,not,1,0,White,male,24.0,Provo,Utah,UT,Provo Police Department,local_police,53,40.1025309,-111.6238217,not_available
130,2015,2015-02-17,gun,point,not,0,0,White,female,43.0,Gaston County,Gaston,NC,Gastonia Police Department,local_police,317,35.228567,-81.169415,not_available
159,2015,2015-02-17,unarmed,flee,foot,0,0,White,male,31.0,Springfield,Greene,MO,Springfield Police Department,local_police,350,37.22525,-93.319432,not_available
160,2015,2015-02-17,gun,point,not,0,0,White,male,32.0,Eaton Rapids Township,Eaton,MI,Eaton County Sheriff's Department,sheriff,352,42.514069,-84.700777,not_available
161,2015,2015-02-17,replica,point,foot,0,0,White,male,30.0,Tewksbury,Middlesex,MA,Tewksbury Police Department,local_police,515,42.614279,-71.283913,not_available
162,2015,2015-02-17,unknown,threat,not,0,0,Hispanic,male,50.0,Del Rio,Val Verde,TX,Del Rio Police Department,local_police,353,29.368635,-100.830582,not_available
163,2015,2015-02-18,knife,threat,not,1,0,Black,female,20.0,Charlotte,Mecklenburg,NC,Charlotte Mecklenburg Police Department,local_police,354,35.249899,-80.819062,not_available
165,2015,2015-02-20,unarmed,move,not,0,0,Hispanic,male,31.0,Euless,Tarrant,TX,Euless Police Department,local_police,1142,32.873841,-97.099857,not_available
166,2015,2015-02-20,gun,shoot,not,0,0,Black,male,38.0,Homewood,Jefferson,AL,Homewood Police Department,local_police,516,33.482154,-86.823544,not_available
255,2015,2015-02-20,gun,point,not,1,0,Black,male,77.0,Birmingham,Jefferson,AL,Birmingham Police Department,local_police,517,33.564085,-86.724055,not_available
584,2015,2015-02-20,gun,point,car,0,0,Hispanic,male,,Houston,Harris,TX,U.S. Marshals Service,federal,1173,29.983431,-95.401484,not_available
167,2015,2015-02-21,gun,point,not,0,0,White,male,41.0,Ruidoso,Lincoln,NM,New Mexico State Police,state_police,81,33.448276,-105.665221,not_available
168,2015,2015-02-21,knife,attack,not,0,0,White,male,51.0,Indianapolis,Marion,IN,Indianapolis Metropolitan Police Department,local_police,77,39.792772,-85.99188,not_available
170,2015,2015-02-22,gun,point,not,0,0,White,male,50.0,Palm Bay,Brevard,FL,Palm Bay Police Department,local_police,206,27.989686,-80.645496,not_available
172,2015,2015-02-23,gun,point,not,1,0,White,male,47.0,Denham Springs,Livingston,LA,Denham Springs Police Department,local_police,214,30.454942,-90.956482,not_available
174,2015,2015-02-23,knife,threat,not,0,0,White,male,37.0,Powder Springs,Cobb,GA,Cobb County Sheriff's Department,sheriff,363,33.911411,-84.69472,not_available
175,2015,2015-02-23,gun,shoot,foot,0,0,White,male,41.0,Clarkesville,Habersham,GA,Habersham County Sheriff's Department,sheriff,367,34.631146,-83.597835,not_available
176,2015,2015-02-23,gun,shoot,not,0,0,Black,male,16.0,Millbrook,Elmore,AL,Millbrook Police Department,local_police,370,32.530105,-86.362488,not_available
266,2015,2015-02-23,knife,attack,car,0,0,White,male,42.0,Allentown,Lehigh,PA,Pennsylvania State Police,state_police,19,40.631809,-75.432531,not_available
371,2015,2015-02-23,unarmed,move,not,0,0,White,male,39.0,Omaha,Douglas,NE,Omaha Police Department,local_police,158,41.244051,-95.933308,not_available
177,2015,2015-02-24,knife,attack,not,1,0,White,male,30.0,Green Bay,Brown,WI,Green Bay Police Department,local_police,371,44.526743,-88.058383,not_available
178,2015,2015-02-25,unknown,threat,car,0,0,Black,male,27.0,Oklahoma City,Oklahoma,OK,Oklahoma City Police Department,local_police,23,35.497367,-97.552124,not_available
179,2015,2015-02-25,gun,shoot,not,1,0,White,male,43.0,Las Vegas,Clark,NV,Las Vegas Metropolitan Police Department,local_police,375,36.241326,-115.055218,not_available
180,2015,2015-02-26,unarmed,threat,not,0,0,White,male,31.0,Terre Haute,Vigo,IN,Terre Haute Police Department,local_police,377,39.462937,-87.378833,not_available
181,2015,2015-02-26,gun,point,foot,0,0,Hispanic,male,42.0,Lakeland,Polk,FL,Lakeland Police Department,local_police,379,28.103782,-81.950414,not_available
182,2015,2015-02-26,knife,threat,not,0,0,Hispanic,male,21.0,San Francisco,San Francisco,CA,San Francisco Police Department,local_police,196,37.750904,-122.413943,not_available
183,2015,2015-02-26,unarmed,move,not,0,0,White,male,49.0,Gulfport,Harrison,MS,Gulfport Police Department,local_police,392,30.424762,-89.092452,not_available
184,2015,2015-02-26,gun,point,car,0,0,White,female,34.0,Sylvester,Worth,GA,Worth County Sheriff's Department,sheriff,393,31.550067,-83.902277,not_available
185,2015,2015-02-27,unarmed,threat,not,0,0,Hispanic,male,27.0,Santa Ana,Orange,CA,Santa Ana Police Department,local_police,33,33.747056,-117.879136,not_available
186,2015,2015-02-28,gun,shoot,not,0,0,White,male,24.0,Pelzer,Greenville,SC,Greenville County Sheriff's Department,sheriff,395,34.632654,-82.407687,not_available
187,2015,2015-02-28,unarmed,attack,not,0,1,White,male,17.0,Roxand Township,Eaton,MI,Eaton County Sheriff's Department,sheriff,352,42.75564,-84.836983,not_available
188,2015,2015-02-28,unarmed,move,car,0,0,Black,male,34.0,St Louis,St. Louis City,MO,Wellston Police Department,local_police,167,38.597794,-90.232134,not_available
189,2015,2015-02-28,knife,threat,not,0,0,Hispanic,female,28.0,Tucson,Pima,AZ,Tucson Police Department,local_police,397,32.229651,-110.989562,not_available
190,2015,2015-02-28,gun,shoot,car,0,0,Black,male,28.0,Columbia,Boone,MO,Boone County Sheriff's Department,sheriff,398,38.946463,-92.293625,not_available
191,2015,2015-02-28,gun,shoot,car,1,0,Black,male,40.0,Tarboro,Edgecombe,NC,Tarboro Police Department,local_police,400,35.917642,-77.54755,not_available
192,2015,2015-02-28,gun,shoot,car,0,0,White,female,37.0,La Paz County,La Paz,AZ,Riverside County Sheriff's Department,sheriff,267,33.619301,-114.450926,not_available
194,2015,2015-03-01,unarmed,attack,not,1,1,Black,male,43.0,Los Angeles,Los Angeles,CA,Los Angeles Police Department,local_police,38,34.043131,-118.244634,not_available
195,2015,2015-03-01,gun,shoot,not,0,0,Asian Heritage,male,35.0,Houston,Harris,TX,Harris County Sheriff's Office,sheriff,160,29.704199,-95.621853,not_available
268,2015,2015-03-01,gun,shoot,not,0,0,White,male,49.0,Barton,George,MS,George County Sheriff's Department,sheriff,39,30.78854,-88.604247,not_available
196,2015,2015-03-02,gun,move,foot,0,0,Black,male,20.0,Joilet,Will,IL,Joliet Police Department,local_police,244,41.522475,-88.074437,not_available
197,2015,2015-03-03,gun,point,not,0,0,Black,male,25.0,Salisbury,Wicomico,MD,Wicomico County Sheriff's Office,sheriff,245,38.379864,-75.608743,not_available
198,2015,2015-03-03,knife,attack,not,0,0,White,male,25.0,Tempe,Maricopa,AZ,Tempe Police Department,local_police,247,33.440229,-111.930819,not_available
199,2015,2015-03-04,unarmed,move,not,0,0,White,male,26.0,Deltona,Volusia,FL,Volusia County Sheriff's Department,sheriff,178,28.887012,-81.254315,not_available
249,2015,2015-03-04,gun,shoot,not,0,0,Asian Heritage,male,28.0,Stockton,San Joaquin,CA,Stockton Police Department,local_police,168,37.948268,-121.28585,not_available
200,2015,2015-03-05,knife,threat,not,1,0,Black,male,45.0,Milwaukee,Milwaukee,WI,Milwaukee Police Department,local_police,253,42.96829,-87.904166,not_available
201,2015,2015-03-05,unarmed,flee,car,0,0,Hispanic,male,36.0,Burbank,Los Angeles,CA,Los Angeles Police Department,local_police,38,34.150659,-118.344693,not_available
202,2015,2015-03-05,gun,attack,not,0,0,White,male,34.0,Lincoln,Lancaster,NE,U.S. Marshals Service,federal,3614,40.874654,-96.681924,not_available
203,2015,2015-03-06,unarmed,attack,foot,0,0,Black,male,19.0,Madison,Dane,WI,Madison Police Department,local_police,322,43.082687,-89.365147,not_available
269,2015,2015-03-06,unarmed,move,foot,0,0,Black,male,37.0,Aurora,Denver,CO,Aurora Police Department,local_police,21,39.735111,-104.915611,not_available
270,2015,2015-03-06,unknown,threat,not,0,0,Black,male,48.0,Putnam Hall,Putnam,FL,Putnam County Sheriff's Office,sheriff,256,29.742555,-81.958504,not_available
271,2015,2015-03-07,gun,point,not,0,0,White,male,29.0,Phoenix,Maricopa,AZ,Phoenix Police Department,local_police,80,33.469376,-112.043319,not_available
204,2015,2015-03-08,knife,threat,not,1,1,Black,female,43.0,Anaheim,Orange,CA,Anaheim Police Department,local_police,79,33.818692,-117.939793,not_available
272,2015,2015-03-08,gun,point,not,0,0,Hispanic,male,40.0,Oklahoma City,Oklahoma,OK,Oklahoma City Police Department,local_police,23,35.426257,-97.582619,not_available
273,2015,2015-03-08,unknown,attack,car,0,0,White,male,35.0,Claymont,New Castle,DE,Delaware State Police,state_police,24,39.818378,-75.456051,not_available
205,2015,2015-03-09,unarmed,move,not,1,0,Black,male,27.0,Atlanta,DeKalb,GA,DeKalb County Police Department,local_police,329,33.880312,-84.267137,not_available
274,2015,2015-03-09,gun,point,not,0,0,White,male,58.0,Brevard,Transylvania,NC,Transylvania County Sheriff's Department,sheriff,25,35.268563,-82.62607,not_available
